Question,Answer
What is full form of CSV?,CSV (Comma Separated Values)
 What is CSV file? What are its characteristics?,"CSV (Comma Separated Values) is a file format for data storage which looks like a text file.
It is used to store tabular data, such as a spreadsheet or database.
The information is organized with one record on each line
Each field is separated by comma.
You can choose a different delimiter character such as ‘ ‘:’ , ‘;’ , ‘|’.
In CSV files space-characters adjacent to commas are ignored"
When do we use CSV file?,"When data has a strict tabular structure
To transfer large data between programs
To import and export data"
What are the Advantages of CSV files?,"CSV is faster to handle
CSV is smaller in size and is easy to generate
CSV is human readable and easy to edit manually
CSV is simple to implement and parse
CSV is processed by almost all existing applications"
 What are the Disadvantages of CSV files?,"There is no standard way to represent binary data
There is no distinction between text and numeric values
There is poor support of special characters and control characters
CSV allows to move most basic data only. Complex configurations cannot be imported and exported this way"
Which module is used to operate on CSV file?, To read and write in CSV files we need to import csv module.
What is Python? List some popular applications of Python in the world of technology.,"Python is a widely-used general-purpose, high-level programming language. It was created by Guido van Rossum in 1991 and further developed by the Python Software Foundation. It was designed with an emphasis on code readability, and its syntax allows programmers to express their concepts in fewer lines of code.
It is used for:

System Scripting
Web Development
Game Development
Software Development
Complex Mathematics"
What are the benefits of using Python language as a tool in the present scenario?,"The following are the benefits of using Python language:

Object-Oriented Language
High-Level Language
Dynamically Typed language
Extensive support Libraries
Presence of third-party modules
Open source and community development
Portable and Interactive
Portable across Operating systems"
How are arguments passed by value or by reference in Python?,"Everything in Python is an object and all variables hold references to the objects. The reference values are according to the functions; as a result, you cannot change the value of the references. However, you can change the objects if it is mutable."
What does the ‘#’ symbol do in Python?,‘#’ is used to comment on everything that comes after on the line.
What is the difference between a Mutable datatype and an Immutable data type?,"Mutable data types can be edited i.e., they can change at runtime. Eg – List, Dictionary, etc.
Immutable data types can not be edited i.e., they can not change at runtime. Eg – String, Tuple, etc."
 What is the difference between a Set and Dictionary?,"The set is an unordered collection of data types that is iterable, mutable and has no duplicate elements.
A dictionary in Python is an ordered collection of data values, used to store data values like a map"
What is List Comprehension? Give an Example.,"List comprehension is a syntax construction to ease the creation of a list based on existing iterable.

For Example:

my_list = [i for i in range(1, 10)]"
What is a lambda function?,"A lambda function is an anonymous function. This function can have any number of parameters but, can have just one statement. For Example:

a = lambda x, y : x*y
print(a(7, 19))"
What is a pass in Python?,"Pass means performing no operation or in other words, it is a placeholder in the compound statement, where there should be a blank left and nothing has to be written there."
What is the difference between / and // in Python?,"/ represents floor division whereas // represents precise division. For Example:

5//2 = 2
5/2 = 2.5"
How is Exceptional handling done in Python?,"There are 3 main keywords i.e. try, except, and finally which are used to catch exceptions and handle the recovering mechanism accordingly. Try is the block of a code that is monitored for errors. Except block gets executed when an error occurs.

The beauty of the final block is to execute the code after trying for an error. This block gets executed irrespective of whether an error occurred or not. Finally, block is used to do the required cleanup activities of objects/variables."
What is swapcase function in Python?,"It is a string’s function that converts all uppercase characters into lowercase and vice versa. It is used to alter the existing case of the string. This method creates a copy of the string which contains all the characters in the swap case. For Example:

string = ""GeeksforGeeks""
string.swapcase() ---> ""gEEKSFORgEEKS"""
Difference between for loop and while loop in Python,"The “for” Loop is generally used to iterate through the elements of various collection types such as List, Tuple, Set, and Dictionary. Developers use a “for” loop where they have both the conditions start and the end. Whereas, the “while” loop is the actual looping feature that is used in any other programming language. Programmers use a Python while loop where they just have the end conditions."
Can we Pass a function as an argument in Python?,"Yes, Several arguments can be passed to a function, including objects, variables (of the same or distinct data types), and functions. Functions can be passed as parameters to other functions because they are objects. Higher-order functions are functions that can take other functions as arguments."
What are *args and *kwargs?,"To pass a variable number of arguments to a function in Python, use the special syntax *args and **kwargs in the function specification. It is used to pass a variable-length, keyword-free argument list. By using the *, the variable we associate with the * becomes iterable, allowing you to do operations on it such as iterating over it and using higher-order operations like map and filter."
What is PEP 8 and why is it important?,"PEP stands for Python Enhancement Proposal. A PEP is an official design document providing information to the Python community, or describing a new feature for Python or its processes. PEP 8 is especially important since it documents the style guidelines for Python Code. Apparently contributing to the Python open-source community requires you to follow these style guidelines sincerely and strictly."
What is Scope in Python?,"Every object in Python functions within a scope. A scope is a block of code where an object in Python remains relevant. Namespaces uniquely identify all the objects inside a program. However, these namespaces also have a scope defined for them where you could use their objects without any prefix. A few examples of scope created during code execution in Python are as follows:

A local scope refers to the local objects available in the current function.
A global scope refers to the objects available throughout the code execution since their inception.
A module-level scope refers to the global objects of the current module accessible in the program.
An outermost scope refers to all the built-in names callable in the program. The objects in this scope are searched last to find the name referenced"
How do you floor a number in Python?,"The Python math module includes a method that can be used to calculate the floor of a number. 

floor() method in Python returns the floor of x i.e., the largest integer not greater than x. 
Also, The method ceil(x) in Python returns a ceiling value of x i.e., the smallest integer greater than or equal to x."
What is the difference between xrange and range functions?,"range() and xrange() are two functions that could be used to iterate a certain number of times in for loops in Python. In Python 3, there is no xrange, but the range function behaves like xrange in Python 2.

range() – This returns a list of numbers created using the range() function.
xrange() – This function returns the generator object that can be used to display numbers only by looping. The only particular range is displayed on demand and hence called lazy evaluation."
What is Dictionary Comprehension? Give an Example,"Dictionary Comprehension is a syntax construction to ease the creation of a dictionary based on the existing iterable.

For Example: my_dict = {i:1+7 for i in range(1, 10)}

26. Is Tuple Comprehension? If yes, how, and if not why?
(i for i in (1, 2, 3))


Tuple comprehension is not possible in Python because it will end up in a generator, not a tuple comprehension."
Differentiate between List and Tuple?,"Let’s analyze the differences between List and Tuple:

List

Lists are Mutable datatype.
Lists consume more memory
The list is better for performing operations, such as insertion and deletion.
The implication of iterations is Time-consuming
Tuple

Tuples are Immutable datatype.
Tuple consumes less memory as compared to the list
A Tuple data type is appropriate for accessing the elements
The implication of iterations is comparatively Faster"
What is the difference between a shallow copy and a deep copy?,"Shallow copy is used when a new instance type gets created and it keeps values that are copied whereas deep copy stores values that are already copied.

A shallow copy has faster program execution whereas a deep coy makes it slow."
Which sorting technique is used by sort() and sorted() functions of python?,"Python uses the Tim Sort algorithm for sorting. It’s a stable sorting whose worst case is O(N log N). It’s a hybrid sorting algorithm, derived from merge sort and insertion sort, designed to perform well on many kinds of real-world data"
